Month,Date,Sale-off,en,es,pt,ru,uk,de,fr,id,ko,vi,ja,it,hi,tr,th,ms,ar
1,1,50%,Happy New Year!,¡Feliz año nuevo!,Feliz Ano Novo!,С Новым Годом!,Щасливого Нового року!,Glückliches neues Jahr!,Bonne année!,Selamat Tahun Baru!,새해 복 많이 받으세요!,Chúc mừng năm mới!,あけましておめでとう！,Buon Anno!,नववर्ष की शुभकामना!,Yeni Yılın Kutlu Olsun!,สวัสดีปีใหม่!,Selamat tahun Baru!,سنه جديده سعيده!
1,11,30%,Flash Sale,Venta Express,Venda Rápida,Флэш-распродажа,Флеш-розпродаж,Blitzangebot,Vente Flash,Penjualan Cepat,깜짝 세일,Siêu Giảm Giá ,超割引,Super Sconto,सुपर छूट,Ekspres satış,ลดสุดๆ,Jualan kilat.,خصم سوبر
2,2,50%,Flash Sale 2:2,Venta Express 2:2,Venda Rápida 2:2,Flash Sale 2:2,Флеш-розпродаж 2:2,Blitzangebot 2:2,Vente Flash 2:2,Penjualan Cepat 2:2,깜짝 세일 2:2,Siêu Giảm Giá 2:2,超割引 2:2,Super Sconto 2:2,सुपर छूट 2:2,Express 2:2 Satış,ลดสุดๆ 2:2,Diskaun Super 2:2,خصم سوبر 2:2
2,13-14,30%,Happy Valentine's Day!,¡Feliz día de San Valentín!,Feliz Dia dos Namorados!,Счастливого дня Святого Валентина!,З Днем Святого Валентина!,Fröhlichen Valentinstag!,Joyeuse saint Valentin!,Selamat Hari Valentine!,행복한 발렌타인 데이!,Chúc mừng ngày lễ tình nhân!,ハッピーバレンタインデー！,Buon San Valentino!,वैलेंटाइन्स दिवस मुबारक हो!,Mutlu sevgililer günü!,สุขสันต์วันวาเลนไทน์!,Selamat Hari kekasih!,عيد حب سعيد!
3,6-8,30%,Happy Women's Day!,¡Feliz día de la mujer!,Feliz Dia da Mulher!,С женским днем!,З Днем жінок!,Alles Gute zum Tag der Frauen!,Joyeuse journée de la femme!,Selamat Hari Wanita!,여성의 날을 축하 해요!,Chúc mừng ngày Phụ Nữ!,幸せな女性の日！,Felice Giorno Delle Donne!,महिला दिवस की शुभकामनाए!,Mutlu kadınlar Günü!,สุขสันต์วันผู้หญิง!,Hari Wanita!,يوم سعيد للمرأة!
3,23,30%,Flash Sale,Venta Express,Venda Rápida,Флэш-распродажа,Флеш-розпродаж,Blitzangebot,Vente Flash,Penjualan Cepat,깜짝 세일,Siêu Giảm Giá ,超割引,Super Sconto,सुपर छूट,Ekspres satış,ลดสุดๆ,Jualan kilat.,خصم سوبر
4,4,50%,Flash Sale 4:4,Venta Express 4:4,Venda Rápida 4:4,Флэш-распродажа 4:4,Флеш-розпродаж 4:4,Blitzangebot 4:4,Vente Flash 4:4,Penjualan Cepat 4:4,깜짝 세일 4:4,Siêu Giảm Giá 4:4,超割引 4:4,Super Sconto 4:4,सुपर छूट 4:4,Express Satış 4:4,ลดสุดๆ 4:4,Diskaun Super 4:4,خصم سوبر 4:4
4,20-22,30%,Earth Day!,¡Día de la Tierra!,Dia da Terra!,День Земли!,День Землі!,Tag der Erde!,Jour de la Terre!,Hari Bumi!,지구의 날!,Ngày Trái Đất!,アースデー！,Giorno della Terra!,पृथ्वी दिवस!,Dünya Günü!,วันโลก,Hari bumi!,يوم الارض!
5,4-5,50%,Flash Sale 5:5,Venta Express 5:5,Venda Rápida 5:5,Флэш-распродажа 5:5,Флеш-розпродаж 5:5,Blitzangebot 5:5,Vente Flash 5:5,Penjualan Cepat 5:5,깜짝 세일 5:5,Siêu Giảm Giá 5:5,超割引 5:5,Super Sconto 5:5,सुपर छूट 5:5,Express Satış 5:5,ลดสุดๆ 5:5,Diskaun Super 5:5,إنتاج فلاش 5:5
5,31,30%,Goodbye May!,¡Adiós mayo!,Adeus maio!,"Прощай, май!","До побачення, травень!",Auf Wiedersehen Mai!,Au revoir mai !,Selamat tinggal Mei!,굿바이 메이!,Tạm biệt tháng 5!,さようなら！,Arrivederci May!,अलविदा हो सकता है!,Hoşçakal olabilir!,ลาก่อนพฤษภาคม!,"Selamat tinggal, boleh!",وداعا، مايو!
6,6,50%,Flash Sale 6:6 ,Venta Express 6.6,Venda Rápida 6.6 ,Флэш-распродажа 6.6 ,Флеш-розпродаж 6.6 ,Blitzangebot 6.6 ,Vente Flash 6:6,Penjualan Cepat 6:6,깜짝 세일 6:6,Siêu Giảm Giá 6:6,超割引 6:6,Super Sconto 6:6,सुपर छूट 6:6,Express 6.6 Satış,ลดสุดๆ 6.6,Diskaun Super 6.6.,خصم سوبر 6.6.
6,26,30%,Flash Sale,Venta Express,Venda Rápida,Флэш-распродажа,Флеш-розпродаж,Blitzangebot,Vente Flash,Penjualan Cepat,깜짝 세일,Siêu Giảm Giá ,超割引,Super Sconto,ko,Ekspres satış,ลดสุดๆ,Jualan kilat.,خصم سوبر
7,7,50%,Flash Sale 7:7,Venta Express 7:7,Venda Rápida 7:7,Флэш-распродажа 7:7,Флеш-розпродаж 7:7,Blitzangebot 7:7,Vente Flash 7:7,Penjualan Cepat 7:7,깜짝 세일 7:7,Siêu Giảm Giá 7:7,超割引 7:7,Super Sconto 7:7,फ्लैश सेल 7:7,Express Satış 7:7,ลดสุดๆ 7:7,Diskaun Super 7:7,خصم سوبر 7:7
7,16-18,30%,Happy Summer!,¡Feliz verano!,Verão Feliz!,Счастливым летом!,Щасливе літо!,Fröhlicher Sommer!,Joyeux été!,Musim panas yang bahagia!,행복한 여름!,Chào hè vui vẻ!,ハッピーサマー！,Felice Estate!,खुशी से भरी गर्मियाँ!,Mutlu yaz!,ฤดูร้อนที่มีความสุข!,Selamat Musim panas!,صيف سعيد!
7,30,50%,Happy Friendship Day!,Dia de la amistad,Dia da Amizade,День дружбы,День дружби,Freundschaftstag,Jour de l'amitié,Hari Persahabatan,우정의 날,Ngày tình bạn,幸せな友情の日,Giorno Dell'amicizia,मित्रता दिवस!,Mutlu dostluk Günü!,สุขสันต์วันมิตรภาพ!,Selamat Hari Persahabatan!,عيد صداقة سعيد!
8,3-5,30%,Back to School Sales,De vuelta a la escuela,De volta à escola,Обратно в школу,Назад до школи,Zurück zur Schule,Retour à l'école,Kembali ke sekolah,학교로 돌아가다,Trở lại trường,学校の売上高に戻る,Di Nuovo a Scuola,वापस स्कूल की बिक्री के लिए,Okula dönüş,กลับไปที่โรงเรียน,Kembali ke sekolah,العودة إلى المدرسة
8,20-22,30%,Big Sale August,Gran venta de agosto,Grande Venda agosto,Большая распродажа в августе,Великий розпродаж серпня,Großverkauf August,Grande Vente Août,Penjualan Besar Agustus,빅 세일 8 월,Siêu khuyến mãi tháng 8,大売8月,Grande Vendita di Agosto,बड़ी बिक्री अगस्त,Ağustos ayının büyük satışı,ขายใหญ่สิงหาคม,Jualan besar pada bulan Ogos,بيع كبير من أغسطس
9,9,50%,Flash Sale 9:9,Venta Express 9:9,Venda Rápida 9:9,Флэш-распродажа 9:9,Флеш-розпродаж 9:9,Blitzangebot 9:9,Vente Flash 9:9,Penjualan Cepat 9:9,깜짝 세일 9:9,Siêu Giảm Giá 9:9,超割引 9:9,Super Sconto 9:9,सुपर छूट 9:9,Express 9:9,ลดสุดๆ 9:9,Diskaun Super 9:9,خصم سوبر 9:9
9,27-30,30%,Goodbye September!,¡Adiós septiembre!,Adeus setembro!,"Прощай, сентябрь!",До побачення вересень!,Auf Wiedersehen September!,Au revoir septembre!,Selamat tinggal September!,안녕 9 월!,Tạm biệt tháng 9!,さようなら9月！,Adiós Settembre!,अलविदा सितंबर!,Eyey Eylül!,ลาก่อนกันยายน!,"Perpisahan, September!",وداعا سبتمبر!
10,10,50%,Flash Sale 10:10,Venta Express 10:10,Venda Rápida 10:10,Флэш-распродажа 10:10,Флеш-розпродаж 10:10,Blitzangebot 10:10,Vente Flash 10:10,Penjualan Cepat 10:10,깜짝 세일 10:10,Siêu Giảm Giá 10:10,超割引 10:10,Super Sconto 10:10,सुपर छूट 10:10,Express Satış 10:10.,ลดสุดๆ 10:10,Diskaun Super 10:10,خصم سوبر 10:10.
10,30-31,50%,Happy Halloween!,¡Feliz Halloween!,Feliz Dia das Bruxas!,Счастливого Хэллоуина!,Щасливого Хеловіну!,Fröhliches Halloween!,Joyeux Halloween!,Selamat Halloween!,해피 할로윈!,Halloween vui vẻ!,ハッピーハロウィン！,Felice Halloween!,हेलोवीन की शुभकामना!,Mutlu Cadılar Bayramı!,สุขสันต์วันฮาโลวีน!,Happy Halloween!,هالون سعيد!
11,11,50%,Happy Singles' Day!,¡Feliz día de los solteros!,Feliz Dia dos Solteiros!,С Днем холостяков!,З днем одиноких!,Alles Gute zum Singletag!,Bonne fête des célibataires!,Selamat Hari Jomblo!,행복한 싱글 데이!,Happy Singles' Day!,幸せなシングルの日！,Buon Giorno Single!,हैप्पी सिंगल्स डे!,Mutlu bekarlar günü!,สุขสันต์วันซิงเกิ้ล!,Selamat Sarjana Muda!,سعيد يوم وحيد!
11,25,70%,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,Black Friday,ब्लैक फ्राइडे,KARA CUMA,Sexta-Feira Negra,Black Friday.,الجمعة السوداء.
11,28,50%,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,Cyber Monday,साइबर सोमवार,Cyber ​​pazartesi.,ไซเบอร์วันจันทร์,Siber hari ini.,الإيبراء الاثنين.
12,12,50%,Flash Sale 12:12,Venta Express 12:12,Venda Rápida 12:12,Флэш-распродажа 12:12,Флеш-розпродаж 12:12,Blitzangebot 12:12,Vente Flash 12:12,Penjualan Cepat 12:12,깜짝 세일 12:12,Siêu Giảm Giá 12:12,超割引 12:12,Super Sconto 12:12,सुपर छूट 12:12,Express Sale 12:12.,ลดสุดๆ 12:12,Diskaun Super 12:12.,خصم سوبر 12:12.
12,24-25,50%,Merry Christmas!,¡Feliz Navidad!,Feliz Natal!,Счастливого Рождества!,Щасливого Різдва!,Frohe Weihnachten!,Joyeux Noël!,Selamat Natal!,메리 크리스마스!,Giáng sinh vui vẻ!,メリークリスマス！,Buon Natale!,क्रिसमस की बधाई!,Mutlu Noeller!,สุขสันต์วันคริสต์มาส!,Selamat Hari Natal!,عيد ميلاد مجيد!